time,sv_sys,sv_id,los
1225618218,G,1,0
1225618218,G,3,0
1225618218,G,8,0
1225618218,G,11,1
1225618218,G,14,1
1225618218,G,17,1
1225618218,G,18,0
1225618218,G,22,0
1225618218,G,32,1
1225618218,E,4,0
1225618218,E,11,0
1225618218,E,12,1
1225618218,E,19,1
1225618218,R,7,0
1225618218,R,8,0
1225618218,R,22,1
1225618218,R,23,1
1225618218,R,24,0
1225618219,G,1,0
1225618219,G,3,0
1225618219,G,8,0
1225618219,G,11,1
1225618219,G,14,1
1225618219,G,17,1
1225618219,G,22,1
1225618219,G,32,1
1225618219,E,4,1
1225618219,E,11,1
1225618219,E,12,1
1225618219,E,19,1
1225618219,R,1,0
1225618219,R,7,0
1225618219,R,8,0
1225618219,R,22,1
1225618219,R,23,1
1225618219,R,24,1
1225618220,G,3,0
1225618220,G,11,1
1225618220,G,14,1
1225618220,G,17,1
1225618220,G,18,1
1225618220,G,22,1
1225618220,G,32,1
1225618220,E,4,1
1225618220,E,11,1
1225618220,E,12,1
1225618220,E,19,1
1225618220,R,1,0
1225618220,R,7,1
1225618220,R,8,1
1225618220,R,22,1
1225618220,R,23,1
1225618220,R,24,1
1225618221,G,1,1
1225618221,G,11,1
1225618221,G,14,1
1225618221,G,17,1
1225618221,G,18,1
1225618221,G,22,1
1225618221,G,32,1
1225618221,E,4,1
1225618221,E,11,1
1225618221,E,12,1
1225618221,E,19,1
1225618221,R,1,1
1225618221,R,7,1
1225618221,R,8,1
1225618221,R,16,0
1225618221,R,22,1
1225618221,R,23,1
1225618221,R,24,1
1225618222,G,1,1
1225618222,G,3,0
1225618222,G,11,1
1225618222,G,14,0
1225618222,G,17,1
1225618222,G,18,1
1225618222,G,22,1
1225618222,G,32,1
1225618222,E,4,1
1225618222,E,11,1
1225618222,E,12,1
1225618222,E,19,1
1225618222,R,1,0
1225618222,R,7,1
1225618222,R,8,1
1225618222,R,22,1
1225618222,R,23,1
1225618222,R,24,1
1225618223,G,1,1
1225618223,G,11,1
1225618223,G,14,1
1225618223,G,17,1
1225618223,G,18,1
1225618223,G,22,1
1225618223,G,32,0
1225618223,E,4,1
1225618223,E,11,1
1225618223,E,12,1
1225618223,E,19,0
1225618223,R,1,1
1225618223,R,7,0
1225618223,R,8,0
1225618223,R,16,1
1225618223,R,22,0
1225618223,R,23,1
1225618223,R,24,0
1225618224,G,1,1
1225618224,G,11,1
1225618224,G,14,1
1225618224,G,17,1
1225618224,G,18,1
1225618224,G,22,1
1225618224,G,32,1
1225618224,E,4,1
1225618224,E,11,1
1225618224,E,12,1
1225618224,E,19,0
1225618224,R,1,1
1225618224,R,7,0
1225618224,R,8,1
1225618224,R,16,0
1225618224,R,22,0
1225618224,R,23,1
1225618224,R,24,1
1225618225,G,1,1
1225618225,G,3,0
1225618225,G,11,1
1225618225,G,14,1
1225618225,G,17,1
1225618225,G,18,1
1225618225,G,22,1
1225618225,G,32,1
1225618225,E,4,1
1225618225,E,11,1
1225618225,E,12,1
1225618225,E,19,1
1225618225,R,1,0
1225618225,R,8,1
1225618225,R,16,0
1225618225,R,23,1
1225618225,R,24,1
1225618226,G,1,1
1225618226,G,3,0
1225618226,G,8,0
1225618226,G,11,1
1225618226,G,14,1
1225618226,G,17,1
1225618226,G,18,1
1225618226,G,22,1
1225618226,G,32,1
1225618226,E,4,1
1225618226,E,11,1
1225618226,E,12,1
1225618226,E,19,1
1225618226,R,7,0
1225618226,R,8,1
1225618226,R,23,1
1225618227,G,1,1
1225618227,G,11,1
1225618227,G,14,1
1225618227,G,17,1
1225618227,G,18,1
1225618227,G,22,1
1225618227,G,32,1
1225618227,E,4,1
1225618227,E,9,0
1225618227,E,11,1
1225618227,E,12,1
1225618227,E,19,1
1225618227,R,7,0
1225618227,R,8,1
1225618227,R,16,0
1225618227,R,23,1
1225618227,R,24,1
1225618228,G,1,1
1225618228,G,8,0
1225618228,G,11,1
1225618228,G,14,1
1225618228,G,17,1
1225618228,G,18,1
1225618228,G,22,1
1225618228,G,32,1
1225618228,E,4,1
1225618228,E,11,1
1225618228,E,12,1
1225618228,E,19,1
1225618228,R,7,0
1225618228,R,8,1
1225618228,R,16,1
1225618228,R,23,1
1225618228,R,24,1
1225618229,G,1,1
1225618229,G,8,0
1225618229,G,11,1
1225618229,G,14,1
1225618229,G,17,1
1225618229,G,18,1
1225618229,G,22,1
1225618229,G,32,1
1225618229,E,4,1
1225618229,E,11,1
1225618229,E,12,1
1225618229,E,19,1
1225618229,R,7,0
1225618229,R,8,1
1225618229,R,16,0
1225618229,R,23,1
1225618229,R,24,1
1225618230,G,1,1
1225618230,G,8,0
1225618230,G,11,1
1225618230,G,14,1
1225618230,G,17,1
1225618230,G,18,1
1225618230,G,22,1
1225618230,G,32,1
1225618230,E,4,1
1225618230,E,11,1
1225618230,E,12,1
1225618230,E,19,1
1225618230,R,7,0
1225618230,R,8,1
1225618230,R,16,0
1225618230,R,23,1
1225618230,R,24,1
1225618231,G,1,1
1225618231,G,8,0
1225618231,G,11,1
1225618231,G,14,1
1225618231,G,17,1
1225618231,G,18,1
1225618231,G,22,1
1225618231,G,32,1
1225618231,E,4,1
1225618231,E,11,1
1225618231,E,12,1
1225618231,E,19,1
1225618231,R,7,0
1225618231,R,8,1
1225618231,R,16,0
1225618231,R,23,1
1225618231,R,24,1
1225618232,G,1,1
1225618232,G,8,1
1225618232,G,11,1
1225618232,G,14,1
1225618232,G,17,1
1225618232,G,18,1
1225618232,G,22,1
1225618232,G,32,1
1225618232,E,4,1
1225618232,E,11,1
1225618232,E,12,1
1225618232,E,19,1
1225618232,R,7,0
1225618232,R,8,1
1225618232,R,16,0
1225618232,R,23,1
1225618232,R,24,1
1225618233,G,1,1
1225618233,G,3,0
1225618233,G,11,1
1225618233,G,14,1
1225618233,G,17,1
1225618233,G,18,1
1225618233,G,22,1
1225618233,G,32,1
1225618233,E,4,1
1225618233,E,11,1
1225618233,E,12,1
1225618233,E,19,1
1225618233,R,1,1
1225618233,R,7,0
1225618233,R,8,1
1225618233,R,23,1
1225618233,R,24,1
1225618234,G,1,1
1225618234,G,8,0
1225618234,G,11,1
1225618234,G,14,0
1225618234,G,17,1
1225618234,G,18,1
1225618234,G,22,1
1225618234,G,32,1
1225618234,E,4,1
1225618234,E,11,1
1225618234,E,12,1
1225618234,E,19,1
1225618234,R,1,1
1225618234,R,7,0
1225618234,R,8,1
1225618234,R,23,1
1225618234,R,24,1
1225618235,G,1,1
1225618235,G,3,0
1225618235,G,11,1
1225618235,G,14,1
1225618235,G,17,1
1225618235,G,18,1
1225618235,G,22,1
1225618235,G,32,1
1225618235,E,4,1
1225618235,E,11,1
1225618235,E,12,1
1225618235,E,19,1
1225618235,R,1,0
1225618235,R,7,0
1225618235,R,8,1
1225618235,R,23,1
1225618235,R,24,1
1225618236,G,1,1
1225618236,G,3,0
1225618236,G,8,0
1225618236,G,11,1
1225618236,G,14,1
1225618236,G,17,1
1225618236,G,18,1
1225618236,G,22,1
1225618236,G,32,1
1225618236,E,4,1
1225618236,E,11,1
1225618236,E,12,1
1225618236,E,19,1
1225618236,R,7,0
1225618236,R,8,1
1225618236,R,23,1
1225618236,R,24,1
1225618237,G,1,1
1225618237,G,11,1
1225618237,G,14,0
1225618237,G,17,1
1225618237,G,18,1
1225618237,G,22,1
1225618237,G,32,1
1225618237,E,4,1
1225618237,E,11,1
1225618237,E,12,1
1225618237,E,19,1
1225618237,R,1,1
1225618237,R,7,0
1225618237,R,8,0
1225618237,R,16,0
1225618237,R,23,1
1225618237,R,24,1
1225618238,G,1,1
1225618238,G,3,0
1225618238,G,11,1
1225618238,G,14,1
1225618238,G,17,1
1225618238,G,18,1
1225618238,G,22,1
1225618238,G,32,1
1225618238,E,4,1
1225618238,E,11,1
1225618238,E,12,0
1225618238,E,19,1
1225618238,R,7,0
1225618238,R,8,1
1225618238,R,16,0
1225618238,R,23,1
1225618238,R,24,1
1225618239,G,1,1
1225618239,G,3,0
1225618239,G,11,1
1225618239,G,14,0
1225618239,G,17,1
1225618239,G,18,0
1225618239,G,22,1
1225618239,G,32,1
1225618239,E,4,1
1225618239,E,11,1
1225618239,E,12,1
1225618239,E,19,1
1225618239,R,7,0
1225618239,R,8,1
1225618239,R,16,0
1225618239,R,23,1
1225618239,R,24,1
1225618240,G,1,1
1225618240,G,11,1
1225618240,G,14,1
1225618240,G,17,1
1225618240,G,18,1
1225618240,G,22,1
1225618240,G,32,0
1225618240,E,4,1
1225618240,E,11,1
1225618240,E,12,1
1225618240,E,19,0
1225618240,R,1,1
1225618240,R,7,0
1225618240,R,8,1
1225618240,R,16,0
1225618240,R,23,1
1225618240,R,24,1
1225618241,G,1,1
1225618241,G,3,0
1225618241,G,11,1
1225618241,G,14,1
1225618241,G,17,1
1225618241,G,18,1
1225618241,G,22,1
1225618241,G,32,1
1225618241,E,4,1
1225618241,E,11,1
1225618241,E,12,1
1225618241,E,19,0
1225618241,R,7,0
1225618241,R,8,1
1225618241,R,16,0
1225618241,R,23,1
1225618241,R,24,1
1225618242,G,1,1
1225618242,G,11,1
1225618242,G,14,0
1225618242,G,17,1
1225618242,G,18,0
1225618242,G,22,1
1225618242,G,32,1
1225618242,E,4,0
1225618242,E,11,1
1225618242,E,12,1
1225618242,E,19,1
1225618242,R,1,1
1225618242,R,7,0
1225618242,R,8,0
1225618242,R,16,0
1225618242,R,23,1
1225618242,R,24,1
1225618243,G,1,1
1225618243,G,11,1
1225618243,G,14,1
1225618243,G,17,1
1225618243,G,18,1
1225618243,G,22,1
1225618243,G,32,1
1225618243,E,4,1
1225618243,E,11,1
1225618243,E,12,1
1225618243,E,19,1
1225618243,R,1,1
1225618243,R,7,0
1225618243,R,8,1
1225618243,R,16,0
1225618243,R,23,1
1225618243,R,24,1
1225618244,G,1,1
1225618244,G,3,0
1225618244,G,11,1
1225618244,G,14,1
1225618244,G,17,1
1225618244,G,18,1
1225618244,G,22,1
1225618244,G,32,1
1225618244,E,4,1
1225618244,E,11,1
1225618244,E,12,1
1225618244,E,19,1
1225618244,R,1,1
1225618244,R,7,0
1225618244,R,8,1
1225618244,R,23,1
1225618244,R,24,1
1225618245,G,1,1
1225618245,G,11,1
1225618245,G,14,1
1225618245,G,17,1
1225618245,G,18,1
1225618245,G,22,1
1225618245,G,32,1
1225618245,E,4,1
1225618245,E,11,1
1225618245,E,12,1
1225618245,E,19,1
1225618245,R,1,1
1225618245,R,7,1
1225618245,R,8,1
1225618245,R,16,0
1225618245,R,23,1
1225618245,R,24,1
1225618246,G,1,1
1225618246,G,11,1
1225618246,G,14,1
1225618246,G,17,1
1225618246,G,18,1
1225618246,G,22,1
1225618246,G,32,0
1225618246,E,4,1
1225618246,E,11,1
1225618246,E,12,1
1225618246,E,19,0
1225618246,R,1,1
1225618246,R,7,0
1225618246,R,8,1
1225618246,R,16,0
1225618246,R,23,1
1225618246,R,24,1
1225618247,G,1,1
1225618247,G,3,0
1225618247,G,11,1
1225618247,G,14,1
1225618247,G,17,1
1225618247,G,18,1
1225618247,G,22,1
1225618247,G,32,1
1225618247,E,4,1
1225618247,E,11,1
1225618247,E,12,1
1225618247,E,19,1
1225618247,R,1,1
1225618247,R,7,0
1225618247,R,8,1
1225618247,R,23,1
1225618247,R,24,1
1225618248,G,1,1
1225618248,G,11,1
1225618248,G,14,1
1225618248,G,17,1
1225618248,G,18,1
1225618248,G,22,1
1225618248,G,32,1
1225618248,E,4,1
1225618248,E,11,1
1225618248,E,12,1
1225618248,E,19,1
1225618248,R,1,1
1225618248,R,7,0
1225618248,R,8,1
1225618248,R,16,0
1225618248,R,23,1
1225618248,R,24,1
1225618249,G,1,1
1225618249,G,3,0
1225618249,G,8,0
1225618249,G,11,1
1225618249,G,14,1
1225618249,G,17,1
1225618249,G,18,1
1225618249,G,22,1
1225618249,G,32,1
1225618249,E,4,1
1225618249,E,11,1
1225618249,E,12,1
1225618249,E,19,1
1225618249,R,7,0
1225618249,R,8,1
1225618249,R,23,1
1225618249,R,24,1
1225618250,G,1,1
1225618250,G,8,0
1225618250,G,11,1
1225618250,G,14,1
1225618250,G,17,1
1225618250,G,18,1
1225618250,G,22,1
1225618250,G,32,0
1225618250,E,4,1
1225618250,E,9,0
1225618250,E,11,1
1225618250,E,12,1
1225618250,E,19,0
1225618250,R,7,1
1225618250,R,8,1
1225618250,R,23,1
1225618250,R,24,1
1225618251,G,1,1
1225618251,G,8,0
1225618251,G,11,1
1225618251,G,14,1
1225618251,G,17,1
1225618251,G,18,1
1225618251,G,22,1
1225618251,G,32,1
1225618251,E,4,1
1225618251,E,9,0
1225618251,E,11,1
1225618251,E,12,1
1225618251,E,19,1
1225618251,R,7,0
1225618251,R,8,1
1225618251,R,23,1
1225618251,R,24,1
1225618252,G,1,1
1225618252,G,8,0
1225618252,G,11,1
1225618252,G,14,1
1225618252,G,17,1
1225618252,G,18,1
1225618252,G,22,1
1225618252,G,32,1
1225618252,E,4,1
1225618252,E,9,0
1225618252,E,11,1
1225618252,E,12,1
1225618252,E,19,1
1225618252,R,7,0
1225618252,R,8,1
1225618252,R,23,1
1225618252,R,24,1
1225618253,G,1,1
1225618253,G,11,1
1225618253,G,14,1
1225618253,G,17,1
1225618253,G,18,1
1225618253,G,22,1
1225618253,G,32,1
1225618253,E,4,1
1225618253,E,11,1
1225618253,E,12,1
1225618253,E,19,1
1225618253,R,1,1
1225618253,R,7,0
1225618253,R,8,1
1225618253,R,16,0
1225618253,R,23,1
1225618253,R,24,1
1225618254,G,1,1
1225618254,G,3,0
1225618254,G,11,1
1225618254,G,14,1
1225618254,G,17,1
1225618254,G,18,1
1225618254,G,22,1
1225618254,G,32,1
1225618254,E,4,1
1225618254,E,11,1
1225618254,E,12,1
1225618254,E,19,0
1225618254,R,1,1
1225618254,R,7,0
1225618254,R,8,1
1225618254,R,23,1
1225618254,R,24,1
1225618255,G,1,1
1225618255,G,11,1
1225618255,G,14,1
1225618255,G,17,1
1225618255,G,18,1
1225618255,G,22,1
1225618255,G,32,1
1225618255,E,4,1
1225618255,E,11,1
1225618255,E,12,1
1225618255,E,19,1
1225618255,R,1,1
1225618255,R,7,0
1225618255,R,8,1
1225618255,R,16,1
1225618255,R,23,1
1225618255,R,24,1
1225618256,G,1,1
