GPSWeek [weeks];GPSSecondsOfWeek [s];Solution status (sol status);Velocity type (vel type);A measure of the latency in the velocity time tag in seconds. It should be subtracted from the time to give improved results. (latency) [s];Differential age (age) [s];Horizontal speed over ground (hor spd) [m/s];Actual direction of motion over ground (track over ground) with respect to True North [deg];Vertical speed, where positive values indicate increasing altitude (up) and negative values indicate decreasing altitude (down) [m/s]
1900;126639.6;0;56;0;2;3.87690000311883;14.8516216457736;0.022721665450687
1900;126639.65;0;56;0;2;3.91243946029898;15.0065232748368;0.0419728021377781
1900;126639.7;0;56;0;2;3.94419058015017;15.3251767346756;0.0474472982879024
1900;126639.75;0;56;0;2;3.96834517195744;15.817349197475;0.0404921322127083
1900;126639.8;0;56;0;2;3.98831752275999;16.1811901566087;0.0420293676211905
1900;126639.85;0;56;0;2;4.01685478891883;16.4440999876823;0.0410045317182997
1900;126639.9;0;56;0;2;4.04553589703779;16.8122377916355;0.0269317520923005
1900;126639.95;0;56;0;2;4.07584364931837;17.1720001543465;0.0172811666305466
1900;126640;0;56;0;2;4.11929859171914;17.6004996149882;0.00314523886022822
1900;126640.05;0;56;0;2;4.15592661085361;18.2537400659536;0.00129555828061823
1900;126640.1;0;56;0;2;4.19430445031981;18.6993560259153;0.00116998382983358
1900;126640.15;0;56;0;2;4.23286473886464;18.58760968336;0.00668707772483224
1900;126640.2;0;56;0;2;4.27142314955856;18.4794578516419;-0.00201307406053108
1900;126640.25;0;56;0;2;4.30508100660627;18.2404807760118;0.0051565923151442
1900;126640.3;0;56;0;2;4.35655014783907;18.0349031965922;0.0166382091301982
1900;126640.35;0;56;0;2;4.39537146260356;17.7629788014119;0.0451838787733942
1900;126640.4;0;56;0;2;4.46624579763289;17.3884212325865;0.0502111338121303
1900;126640.45;0;56;0;2;4.51571752145292;17.195494842397;0.0419286359167934
1900;126640.5;0;56;0;2;4.55996846791472;17.2131322349887;0.0292818627224531
1900;126640.55;0;56;0;2;4.62115900560295;17.14123527835;0.0271926817802752
1900;126640.6;0;56;0;2;4.66862417179177;17.2621819788637;0.0136078637150931
1900;126640.65;0;56;0;2;4.72375751811938;17.744937292018;-0.030738423546341
1900;126640.7;0;56;0;2;4.77391061447226;18.2311263513627;-0.00679443410680802
1900;126640.75;0;56;0;2;4.82377042813985;18.3292877394262;0.0248896486593786
1900;126640.8;0;56;0;2;4.89132918410564;18.0506464920788;0.0405200780007386
1900;126640.85;0;56;0;2;4.94243711253353;17.6610461983963;0.0397681012696411
1900;126640.9;0;56;0;2;4.99494441135447;17.5958344299725;0.0461184235499723
1900;126640.95;0;56;0;2;5.04190841735132;17.4817353422644;0.0292533585915464
1900;126641;0;56;0;2;5.08693888276075;17.3203056559723;0.0200474485270048
