"","time","GNSS_ID","SV_ID","C","C_std","L","L_std","D","D_std","S","NLOS"
"1",126641.499999971,"GPS",12,19834597.8712713,0.32,104231506.046821,0.004,222.1658,0.128,50,0
"2",126641.499999971,"Glonass",20,19784715.1994221,2.56,105797774.172103,0.012,2219.386,1.024,39,0
"3",126641.499999971,"Glonass",2,22692935.9330983,20.48,121093854.342382,0.06,1271.161,8.192,28,1
"4",126641.499999971,"GPS",19,22635781.9852949,2.56,118951853.716568,0.012,-2783.829,0.512,43,0
"5",126641.499999971,"GPS",32,22234047.0904046,20.48,116840705.198759,0.06,624.6011,8.192,21,1
"6",126641.499999971,"Glonass",1,22680784.059995,20.48,121241810.309364,0.06,-2367.432,8.192,31,1
"7",126641.499999971,"Glonass",10,19093262.6050031,0.64,101777887.318222,0.004,102.2625,0.256,45,0
"8",126641.499999971,"Glonass",21,22683870.7378598,20.48,121386017.064259,0.06,4785.986,8.192,34,0
"9",126641.499999971,"Glonass",19,20789428.6771235,1.28,111209471.12207,0.008,-2228.113,0.512,50,1
"10",126641.499999971,"GPS",14,22649088.221302,40.96,119021761.615925,0.06,1602.471,16.384,23,1
"11",126641.499999971,"Glonass",11,21029694.0723358,10.24,112376308.716251,0.06,3381.379,4.096,26,1
"12",126641.499999971,"GPS",6,22844817.9341959,5.12,120050328.461483,0.06,1124.386,4.096,39,0
"13",126641.499999971,"Glonass",9,21642584.7380402,5.12,115407798.656746,0.024,-2947.351,2.048,48,0
"14",126641.499999971,"GPS",24,21265103.5823198,5.12,111748873.136693,0.02,-2225.042,2.048,46,0
"15",126641.499999971,"GPS",17,25078409.3557325,20.48,131787929.664155,0.06,-3107.812,8.192,34,1
"16",126641.499999971,"GPS",2,23477506.8316879,5.12,123375127.134657,0.028,2838.583,2.048,40,1
"17",126641.499999971,"GPS",25,21244265.3088298,10.24,111639366.963273,0.06,2518.071,4.096,29,1
"18",126641.499999971,"GPS",29,23856563.6330063,0.64,125367091.970488,0.004,4087.463,0.256,45,0
"19",126641.499999971,"SBAS",120,39064567.9338026,0.64,205285685.12458,0.004,297.7017,0.256,38,1
"20",126641.699999971,"GPS",12,19834589.6522187,0.32,104231461.634255,0.004,221.9409,0.128,49,0
"21",126641.699999971,"Glonass",20,19784632.1581984,2.56,105797330.978496,0.016,2212.847,1.024,40,0
"22",126641.699999971,"Glonass",2,22692892.0676135,20.48,121093619.76357,0.06,1261.95,8.192,28,1
"23",126641.699999971,"GPS",19,22635887.8121404,2.56,118952410.665163,0.012,-2784.13,0.512,43,0
"24",126641.699999971,"GPS",32,22234029.4787724,20.48,116840613.337146,0.06,624.8035,8.192,21,1
"25",126641.699999971,"Glonass",1,22680883.1990446,20.48,121242340.240277,0.06,-2367.627,8.192,38,1
"26",126641.699999971,"Glonass",10,19093258.9535451,0.64,101777866.909124,0.004,101.3594,0.256,45,0
"27",126641.699999971,"Glonass",21,22683692.2439451,10.24,121385062.028304,0.024,4783.667,4.096,37,0
"28",126641.699999971,"Glonass",19,20789511.9626502,1.28,111209916.631078,0.008,-2227.765,0.512,50,1
"29",126641.699999971,"GPS",14,22649028.5328322,40.96,119021448.12251,0.06,1602.471,16.384,23,1
"30",126641.699999971,"Glonass",11,21029568.5747324,10.24,112375637.894066,0.06,3391.158,4.096,25,1
"31",126641.699999971,"GPS",6,22844775.1811624,10.24,120050102.851422,0.06,1125.537,4.096,43,0
"32",126641.699999971,"Glonass",9,21642699.5561103,5.12,115408388.678702,0.02,-2949.469,2.048,46,0
"33",126641.699999971,"GPS",24,21265194.7422573,5.12,111749318.203594,0.016,-2225.085,2.048,50,0
"34",126641.699999971,"GPS",17,25078528.0521136,10.24,131788553.526511,0.06,-3107.422,8.192,35,1
"35",126641.699999971,"GPS",2,23477401.606875,5.12,123374560.0683,0.036,2838.76,2.048,38,0
"36",126641.699999971,"GPS",25,21244172.5652851,10.24,111638879.776322,0.06,2534.315,4.096,29,1
