GPSWeek [weeks];GPSSecondsOfWeek [s];Velocity [meter/second]
1900;126638.680000067;3.19444444444444
1900;126638.700000048;3.19444444444444
1900;126638.720000029;3.20277777777778
1900;126638.74000001;3.21388888888889
1900;126638.75999999;3.25555555555556
1900;126638.779999971;3.27222222222222
1900;126638.799999952;3.27222222222222
1900;126638.819999933;3.29444444444444
1900;126638.839999914;3.31388888888889
1900;126638.859999895;3.35
1900;126638.879999876;3.38055555555556
1900;126638.899999857;3.38055555555556
1900;126638.919999838;3.39166666666667
1900;126638.940000057;3.41111111111111
1900;126638.960000038;3.45
1900;126638.980000019;3.46388888888889
1900;126639;3.46388888888889
1900;126639.019999981;3.49722222222222
1900;126639.039999962;3.50833333333333
1900;126639.059999943;3.53888888888889
1900;126639.079999924;3.56666666666667
1900;126639.099999905;3.56666666666667
1900;126639.119999886;3.57222222222222
1900;126639.139999866;3.58888888888889
1900;126639.159999847;3.61666666666667
1900;126639.180000067;3.63333333333333
1900;126639.200000048;3.63333333333333
1900;126639.220000029;3.63611111111111
1900;126639.24000001;3.64722222222222
1900;126639.25999999;3.68055555555556
1900;126639.279999971;3.7
1900;126639.299999952;3.7
1900;126639.319999933;3.71111111111111
1900;126639.339999914;3.73611111111111
1900;126639.359999895;3.76944444444444
1900;126639.379999876;3.78333333333333
1900;126639.399999857;3.78333333333333
1900;126639.419999838;3.81111111111111
1900;126639.440000057;3.81111111111111
1900;126639.460000038;3.85277777777778
1900;126639.480000019;3.86388888888889
1900;126639.5;3.86388888888889
1900;126639.519999981;3.88055555555556
1900;126639.539999962;3.89722222222222
1900;126639.559999943;3.92777777777778
1900;126639.579999924;3.93055555555556
1900;126639.599999905;3.93055555555556
1900;126639.619999886;3.94166666666667
1900;126639.639999866;3.95833333333333
1900;126639.659999847;3.97222222222222
1900;126639.680000067;3.99166666666667
1900;126639.700000048;3.99166666666667
1900;126639.720000029;3.98611111111111
1900;126639.74000001;4
1900;126639.75999999;4.02777777777778
1900;126639.779999971;4.02777777777778
1900;126639.799999952;4.02777777777778
1900;126639.819999933;4.03888888888889
1900;126639.839999914;4.05833333333333
1900;126639.859999895;4.08611111111111
1900;126639.879999876;4.1
1900;126639.899999857;4.1
1900;126639.919999838;4.12777777777778
1900;126639.940000057;4.11944444444444
1900;126639.960000038;4.16388888888889
1900;126639.980000019;4.17777777777778
1900;126640;4.17777777777778
1900;126640.019999981;4.16666666666667
1900;126640.039999962;4.18888888888889
1900;126640.059999943;4.25277777777778
1900;126640.079999924;4.24722222222222
1900;126640.099999905;4.24722222222222
1900;126640.119999886;4.25833333333333
1900;126640.139999866;4.28333333333333
1900;126640.159999847;4.30555555555556
1900;126640.180000067;4.33333333333333
1900;126640.200000048;4.33333333333333
1900;126640.220000029;4.33333333333333
1900;126640.24000001;4.34166666666667
1900;126640.25999999;4.39722222222222
1900;126640.279999971;4.39722222222222
1900;126640.299999952;4.40555555555556
1900;126640.319999933;4.40555555555556
1900;126640.339999914;4.43055555555556
1900;126640.359999895;4.46944444444445
1900;126640.379999876;4.48888888888889
1900;126640.399999857;4.48888888888889
1900;126640.419999838;4.50833333333333
1900;126640.440000057;4.54722222222222
1900;126640.460000038;4.57777777777778
1900;126640.480000019;4.59722222222222
1900;126640.5;4.59722222222222
1900;126640.519999981;4.63333333333333
1900;126640.539999962;4.66388888888889
1900;126640.559999943;4.69444444444444
1900;126640.579999924;4.725
1900;126640.599999905;4.725
1900;126640.619999886;4.73611111111111
1900;126640.639999866;4.75555555555556
1900;126640.659999847;4.81111111111111
1900;126640.680000067;4.82222222222222
1900;126640.700000048;4.82222222222222
1900;126640.720000029;4.825
1900;126640.74000001;4.85277777777778
1900;126640.75999999;4.88055555555556
1900;126640.779999971;4.92777777777778
1900;126640.799999952;4.92777777777778
1900;126640.819999933;4.94166666666667
1900;126640.839999914;4.96666666666667
1900;126640.859999895;5.00833333333333
1900;126640.879999876;5.04166666666667
1900;126640.899999857;5.04166666666667
1900;126640.919999838;5.06666666666667
1900;126640.940000057;5.09722222222222
1900;126640.960000038;5.15
1900;126640.980000019;5.15
1900;126641;5.15
1900;126641.019999981;5.18055555555556
1900;126641.039999962;5.19444444444444
1900;126641.059999943;5.25277777777778
1900;126641.079999924;5.25277777777778
1900;126641.099999905;5.25277777777778
1900;126641.119999886;5.275
1900;126641.139999866;5.32222222222222
1900;126641.159999847;5.33333333333333
1900;126641.180000067;5.36111111111111
1900;126641.200000048;5.36111111111111
1900;126641.220000029;5.38888888888889
1900;126641.24000001;5.39722222222222
1900;126641.25999999;5.44166666666667
1900;126641.279999971;5.46666666666667
1900;126641.299999952;5.46666666666667
1900;126641.319999933;5.48611111111111
1900;126641.339999914;5.50833333333333
1900;126641.359999895;5.54722222222222
1900;126641.379999876;5.56388888888889
1900;126641.399999857;5.56388888888889
1900;126641.419999838;5.57777777777778
1900;126641.440000057;5.59722222222222
1900;126641.460000038;5.63333333333333
1900;126641.480000019;5.65555555555556
1900;126641.5;5.65555555555556
1900;126641.519999981;5.66666666666667
1900;126641.539999962;5.69166666666667
1900;126641.559999943;5.725
1900;126641.579999924;5.74722222222222
1900;126641.599999905;5.74722222222222
1900;126641.619999886;5.77222222222222
1900;126641.639999866;5.80277777777778
1900;126641.659999847;5.84166666666667
1900;126641.680000067;5.85
1900;126641.700000048;5.85
1900;126641.720000029;5.86388888888889
1900;126641.74000001;5.875
1900;126641.75999999;5.90833333333333
1900;126641.779999971;5.925
1900;126641.799999952;5.925
1900;126641.819999933;5.93333333333333
1900;126641.839999914;5.95277777777778
1900;126641.859999895;5.98333333333333
1900;126641.879999876;6
1900;126641.899999857;6
1900;126641.919999838;6.02777777777778
1900;126641.940000057;6.04722222222222
1900;126641.960000038;6.07222222222222
1900;126641.980000019;6.07777777777778
1900;126642;6.07777777777778
1900;126642.019999981;6.08333333333333
1900;126642.039999962;6.11111111111111
1900;126642.059999943;6.12777777777778
1900;126642.079999924;6.12777777777778
1900;126642.099999905;6.14166666666667
1900;126642.119999886;6.16666666666667
1900;126642.139999866;6.16388888888889
1900;126642.159999847;6.18055555555556
1900;126642.180000067;6.2
1900;126642.200000048;6.2
1900;126642.220000029;6.21388888888889
1900;126642.24000001;6.22222222222222
1900;126642.25999999;6.25
1900;126642.279999971;6.25555555555556
1900;126642.299999952;6.25555555555556
1900;126642.319999933;6.26388888888889
1900;126642.339999914;6.275
1900;126642.359999895;6.29444444444444
1900;126642.379999876;6.30277777777778
1900;126642.399999857;6.30277777777778
1900;126642.419999838;6.31944444444444
1900;126642.440000057;6.33055555555556
1900;126642.460000038;6.35
1900;126642.480000019;6.35833333333333
1900;126642.5;6.35833333333333
1900;126642.519999981;6.36111111111111
1900;126642.539999962;6.38333333333333
1900;126642.559999943;6.40277777777778
1900;126642.579999924;6.41111111111111
1900;126642.599999905;6.41111111111111
1900;126642.619999886;6.43055555555556
1900;126642.639999866;6.42222222222222
1900;126642.659999847;6.45
1900;126642.680000067;6.44722222222222
1900;126642.700000048;6.44722222222222
1900;126642.720000029;6.45277777777778
1900;126642.74000001;6.46944444444445
1900;126642.75999999;6.48888888888889
1900;126642.779999971;6.5
1900;126642.799999952;6.5
1900;126642.819999933;6.51944444444444
1900;126642.839999914;6.53055555555556
1900;126642.859999895;6.54444444444444
1900;126642.879999876;6.54444444444444
1900;126642.899999857;6.56111111111111
1900;126642.919999838;6.56944444444444
1900;126642.940000057;6.55555555555556
1900;126642.960000038;6.58888888888889
1900;126642.980000019;6.57777777777778
1900;126643;6.57777777777778
1900;126643.019999981;6.58888888888889
1900;126643.039999962;6.60833333333333
1900;126643.059999943;6.61944444444444
1900;126643.079999924;6.625
1900;126643.099999905;6.625
1900;126643.119999886;6.64722222222222
1900;126643.139999866;6.63888888888889
1900;126643.159999847;6.66666666666667
1900;126643.180000067;6.68333333333333
1900;126643.200000048;6.68333333333333
1900;126643.220000029;6.68888888888889
1900;126643.24000001;6.68888888888889
1900;126643.25999999;6.68888888888889
1900;126643.279999971;6.70277777777778
1900;126643.299999952;6.70277777777778
1900;126643.319999933;6.71666666666667
1900;126643.339999914;6.71666666666667
1900;126643.359999895;6.74444444444444
1900;126643.379999876;6.74444444444444
1900;126643.399999857;6.74444444444444
1900;126643.419999838;6.76111111111111
1900;126643.440000057;6.76388888888889
1900;126643.460000038;6.78333333333333
1900;126643.480000019;6.78611111111111
1900;126643.5;6.78611111111111
1900;126643.519999981;6.78333333333333
1900;126643.539999962;6.79166666666667
1900;126643.559999943;6.79166666666667
1900;126643.579999924;6.79722222222222
1900;126643.599999905;6.79722222222222
1900;126643.619999886;6.80555555555556
1900;126643.639999866;6.81666666666667
1900;126643.659999847;6.81111111111111
1900;126643.680000067;6.81111111111111
1900;126643.700000048;6.81111111111111
1900;126643.720000029;6.83611111111111
1900;126643.74000001;6.82222222222222
1900;126643.75999999;6.82222222222222
1900;126643.779999971;6.81666666666667
1900;126643.799999952;6.81666666666667
1900;126643.819999933;6.81111111111111
1900;126643.839999914;6.80277777777778
1900;126643.859999895;6.81666666666667
1900;126643.879999876;6.80277777777778
1900;126643.899999857;6.80277777777778
1900;126643.919999838;6.81111111111111
1900;126643.940000057;6.81666666666667
1900;126643.960000038;6.81666666666667
1900;126643.980000019;6.81666666666667
1900;126644;6.81666666666667
1900;126644.019999981;6.81666666666667
1900;126644.039999962;6.81111111111111
1900;126644.059999943;6.82222222222222
1900;126644.079999924;6.79166666666667
1900;126644.099999905;6.79166666666667
1900;126644.119999886;6.78055555555556
1900;126644.139999866;6.78333333333333
1900;126644.159999847;6.78333333333333
1900;126644.180000067;6.78333333333333
1900;126644.200000048;6.78333333333333
1900;126644.220000029;6.78333333333333
1900;126644.24000001;6.78055555555556
1900;126644.25999999;6.78333333333333
1900;126644.279999971;6.78333333333333
1900;126644.299999952;6.78333333333333
1900;126644.319999933;6.78333333333333
1900;126644.339999914;6.77777777777778
1900;126644.359999895;6.78611111111111
1900;126644.379999876;6.76388888888889
1900;126644.399999857;6.76388888888889
1900;126644.419999838;6.73333333333333
1900;126644.440000057;6.78333333333333
1900;126644.460000038;6.74444444444444
1900;126644.480000019;6.78333333333333
1900;126644.5;6.78333333333333
1900;126644.519999981;6.77222222222222
1900;126644.539999962;6.76111111111111
1900;126644.559999943;6.77222222222222
1900;126644.579999924;6.77222222222222
1900;126644.599999905;6.77222222222222
1900;126644.619999886;6.76388888888889
1900;126644.639999866;6.77777777777778
1900;126644.659999847;6.75833333333333
1900;126644.680000067;6.76666666666667
1900;126644.700000048;6.76666666666667
1900;126644.720000029;6.73611111111111
1900;126644.74000001;6.74722222222222
1900;126644.75999999;6.74444444444444
1900;126644.779999971;6.75277777777778
1900;126644.799999952;6.75277777777778
1900;126644.819999933;6.74444444444444
1900;126644.839999914;6.74444444444444
1900;126644.859999895;6.76388888888889
1900;126644.879999876;6.75833333333333
1900;126644.899999857;6.75833333333333
1900;126644.919999838;6.75833333333333
1900;126644.940000057;6.75833333333333
1900;126644.960000038;6.76388888888889
1900;126644.980000019;6.76388888888889
1900;126645;6.74722222222222
1900;126645.019999981;6.76111111111111
1900;126645.039999962;6.76388888888889
1900;126645.059999943;6.76388888888889
1900;126645.079999924;6.75833333333333
1900;126645.099999905;6.75833333333333
1900;126645.119999886;6.78055555555556
1900;126645.139999866;6.79166666666667
1900;126645.159999847;6.78611111111111
1900;126645.180000067;6.79166666666667
1900;126645.200000048;6.79166666666667
1900;126645.220000029;6.80555555555556
1900;126645.24000001;6.79722222222222
1900;126645.25999999;6.79722222222222
1900;126645.279999971;6.80277777777778
1900;126645.299999952;6.80277777777778
1900;126645.319999933;6.80277777777778
1900;126645.339999914;6.79722222222222
1900;126645.359999895;6.82777777777778
1900;126645.379999876;6.81666666666667
1900;126645.399999857;6.81666666666667
1900;126645.419999838;6.80555555555556
1900;126645.440000057;6.82777777777778
1900;126645.460000038;6.85277777777778
1900;126645.480000019;6.83055555555556
1900;126645.5;6.83055555555556
1900;126645.519999981;6.82222222222222
1900;126645.539999962;6.84166666666667
1900;126645.559999943;6.83055555555556
1900;126645.579999924;6.83611111111111
1900;126645.599999905;6.83611111111111
1900;126645.619999886;6.85277777777778
1900;126645.639999866;6.84722222222222
1900;126645.659999847;6.86111111111111
1900;126645.680000067;6.88611111111111
1900;126645.700000048;6.88611111111111
1900;126645.720000029;6.86666666666667
1900;126645.74000001;6.85555555555556
1900;126645.75999999;6.88611111111111
1900;126645.779999971;6.87222222222222
1900;126645.799999952;6.87222222222222
1900;126645.819999933;6.86111111111111
1900;126645.839999914;6.86666666666667
1900;126645.859999895;6.875
1900;126645.879999876;6.86111111111111
1900;126645.899999857;6.86111111111111
1900;126645.919999838;6.87222222222222
1900;126645.940000057;6.87222222222222
1900;126645.960000038;6.90555555555556
1900;126645.980000019;6.89166666666667
1900;126646;6.89166666666667
1900;126646.019999981;6.91111111111111
1900;126646.039999962;6.91111111111111
1900;126646.059999943;6.89166666666667
1900;126646.079999924;6.91111111111111
1900;126646.099999905;6.91111111111111
1900;126646.119999886;6.90555555555556
1900;126646.139999866;6.875
1900;126646.159999847;6.91111111111111
1900;126646.180000067;6.90555555555556
1900;126646.200000048;6.90555555555556
1900;126646.220000029;6.89722222222222
1900;126646.24000001;6.9
1900;126646.25999999;6.90555555555556
1900;126646.279999971;6.9
1900;126646.299999952;6.9
1900;126646.319999933;6.90555555555556
1900;126646.339999914;6.91944444444444
1900;126646.359999895;6.89166666666667
1900;126646.379999876;6.9
1900;126646.399999857;6.9
1900;126646.419999838;6.88611111111111
1900;126646.440000057;6.88611111111111
1900;126646.460000038;6.88888888888889
1900;126646.480000019;6.86666666666667
1900;126646.5;6.86666666666667
1900;126646.519999981;6.88888888888889
1900;126646.539999962;6.88611111111111
1900;126646.559999943;6.89166666666667
1900;126646.579999924;6.87222222222222
1900;126646.599999905;6.87222222222222
1900;126646.619999886;6.875
1900;126646.639999866;6.86666666666667
1900;126646.659999847;6.87222222222222
1900;126646.680000067;6.83055555555556
1900;126646.700000048;6.83055555555556
1900;126646.720000029;6.85277777777778
1900;126646.74000001;6.83055555555556
1900;126646.75999999;6.86111111111111
1900;126646.779999971;6.82222222222222
1900;126646.799999952;6.82222222222222
1900;126646.819999933;6.82777777777778
1900;126646.839999914;6.82222222222222
1900;126646.859999895;6.85277777777778
1900;126646.879999876;6.85
1900;126646.899999857;6.85
1900;126646.919999838;6.78333333333333
1900;126646.940000057;6.79722222222222
1900;126646.960000038;6.79722222222222
1900;126646.980000019;6.79722222222222
1900;126647;6.79722222222222
1900;126647.019999981;6.79722222222222
1900;126647.039999962;6.78611111111111
1900;126647.059999943;6.77777777777778
1900;126647.079999924;6.80277777777778
1900;126647.099999905;6.80277777777778
1900;126647.119999886;6.76388888888889
1900;126647.139999866;6.73611111111111
1900;126647.159999847;6.75277777777778
1900;126647.180000067;6.77222222222222
1900;126647.200000048;6.77222222222222
1900;126647.220000029;6.74166666666667
1900;126647.24000001;6.70833333333333
1900;126647.25999999;6.71666666666667
1900;126647.279999971;6.66666666666667
1900;126647.299999952;6.66666666666667
1900;126647.319999933;6.67777777777778
1900;126647.339999914;6.69722222222222
1900;126647.359999895;6.66666666666667
1900;126647.379999876;6.66388888888889
1900;126647.399999857;6.66388888888889
1900;126647.419999838;6.67777777777778
1900;126647.440000057;6.66388888888889
1900;126647.460000038;6.62777777777778
1900;126647.480000019;6.61944444444444
1900;126647.5;6.61944444444444
1900;126647.519999981;6.58888888888889
1900;126647.539999962;6.59444444444445
1900;126647.559999943;6.56666666666667
1900;126647.579999924;6.55555555555556
1900;126647.599999905;6.55555555555556
1900;126647.619999886;6.53611111111111
1900;126647.639999866;6.54722222222222
1900;126647.659999847;6.50555555555556
1900;126647.680000067;6.48888888888889
1900;126647.700000048;6.48888888888889
1900;126647.720000029;6.50833333333333
1900;126647.74000001;6.50833333333333
1900;126647.75999999;6.46666666666667
1900;126647.779999971;6.46666666666667
1900;126647.799999952;6.45833333333333
1900;126647.819999933;6.45
1900;126647.839999914;6.43055555555556
1900;126647.859999895;6.42222222222222
1900;126647.879999876;6.39166666666667
1900;126647.899999857;6.39166666666667
1900;126647.919999838;6.36388888888889
1900;126647.940000057;6.40277777777778
1900;126647.960000038;6.34166666666667
1900;126647.980000019;6.35833333333333
1900;126648;6.35833333333333
1900;126648.019999981;6.36944444444444
1900;126648.039999962;6.35277777777778
1900;126648.059999943;6.32222222222222
1900;126648.079999924;6.31111111111111
1900;126648.099999905;6.31111111111111
1900;126648.119999886;6.3
1900;126648.139999866;6.28888888888889
1900;126648.159999847;6.26388888888889
1900;126648.180000067;6.25
1900;126648.200000048;6.25
1900;126648.220000029;6.24444444444444
1900;126648.24000001;6.23333333333333
1900;126648.25999999;6.22222222222222
1900;126648.279999971;6.20555555555556
1900;126648.299999952;6.20555555555556
1900;126648.319999933;6.21388888888889
1900;126648.339999914;6.225
1900;126648.359999895;6.18611111111111
1900;126648.379999876;6.19166666666667
1900;126648.399999857;6.19166666666667
1900;126648.419999838;6.14444444444444
1900;126648.440000057;6.15277777777778
1900;126648.460000038;6.11111111111111
1900;126648.480000019;6.12777777777778
1900;126648.5;6.12777777777778
1900;126648.519999981;6.11666666666667
1900;126648.539999962;6.10277777777778
1900;126648.559999943;6.09722222222222
1900;126648.579999924;6.09722222222222
1900;126648.599999905;6.09166666666667
1900;126648.619999886;6.07777777777778
1900;126648.639999866;6.07222222222222
1900;126648.659999847;6.05277777777778
1900;126648.680000067;6.05555555555556
1900;126648.700000048;6.05555555555556
1900;126648.720000029;6.03611111111111
1900;126648.74000001;6.01666666666667
1900;126648.75999999;5.99722222222222
1900;126648.779999971;5.97222222222222
1900;126648.799999952;5.97222222222222
1900;126648.819999933;5.96388888888889
1900;126648.839999914;5.96388888888889
1900;126648.859999895;5.94444444444444
1900;126648.879999876;5.93055555555556
1900;126648.899999857;5.93055555555556
1900;126648.919999838;5.90277777777778
1900;126648.940000057;5.89166666666667
1900;126648.960000038;5.9
1900;126648.980000019;5.9
1900;126649;5.89166666666667
1900;126649.019999981;5.90277777777778
1900;126649.039999962;5.85555555555556
1900;126649.059999943;5.82222222222222
1900;126649.079999924;5.81111111111111
1900;126649.099999905;5.81111111111111
1900;126649.119999886;5.79166666666667
1900;126649.139999866;5.775
1900;126649.159999847;5.775
1900;126649.180000067;5.74166666666667
1900;126649.200000048;5.74166666666667
1900;126649.220000029;5.73611111111111
1900;126649.24000001;5.71388888888889
1900;126649.25999999;5.68333333333333
1900;126649.279999971;5.67222222222222
1900;126649.299999952;5.67222222222222
1900;126649.319999933;5.66388888888889
1900;126649.339999914;5.63611111111111
1900;126649.359999895;5.60833333333333
1900;126649.379999876;5.58888888888889
1900;126649.399999857;5.58888888888889
1900;126649.419999838;5.56666666666667
1900;126649.440000057;5.55
1900;126649.460000038;5.50555555555556
1900;126649.480000019;5.5
1900;126649.5;5.5
1900;126649.519999981;5.46944444444445
1900;126649.539999962;5.45833333333333
1900;126649.559999943;5.42222222222222
1900;126649.579999924;5.42222222222222
1900;126649.599999905;5.42222222222222
1900;126649.619999886;5.39166666666667
1900;126649.639999866;5.39166666666667
1900;126649.659999847;5.34722222222222
1900;126649.680000067;5.34166666666667
1900;126649.700000048;5.34166666666667
1900;126649.720000029;5.3
1900;126649.74000001;5.28333333333333
1900;126649.75999999;5.23888888888889
1900;126649.779999971;5.225
1900;126649.799999952;5.225
1900;126649.819999933;5.20833333333333
1900;126649.839999914;5.19444444444444
1900;126649.859999895;5.16666666666667
1900;126649.879999876;5.15
1900;126649.899999857;5.15
1900;126649.919999838;5.13888888888889
1900;126649.940000057;5.13611111111111
1900;126649.960000038;5.09722222222222
1900;126649.980000019;5.09166666666667
1900;126650;5.09166666666667
1900;126650.019999981;5.1
1900;126650.039999962;5.06111111111111
1900;126650.059999943;5.05
1900;126650.079999924;5.03055555555556
1900;126650.099999905;5.03055555555556
1900;126650.119999886;5.01666666666667
1900;126650.139999866;5.02222222222222
1900;126650.159999847;4.98888888888889
1900;126650.180000067;4.98888888888889
1900;126650.200000048;4.98055555555556
1900;126650.220000029;4.98888888888889
1900;126650.24000001;4.97222222222222
1900;126650.25999999;4.94722222222222
1900;126650.279999971;4.93888888888889
1900;126650.299999952;4.93888888888889
1900;126650.319999933;4.92222222222222
1900;126650.339999914;4.90277777777778
1900;126650.359999895;4.90833333333333
1900;126650.379999876;4.88055555555556
1900;126650.399999857;4.88055555555556
1900;126650.419999838;4.88055555555556
1900;126650.440000057;4.88055555555556
1900;126650.460000038;4.84166666666667
1900;126650.480000019;4.86388888888889
1900;126650.5;4.86388888888889
1900;126650.519999981;4.85277777777778
1900;126650.539999962;4.84444444444445
1900;126650.559999943;4.84166666666667
1900;126650.579999924;4.82222222222222
1900;126650.599999905;4.82222222222222
1900;126650.619999886;4.83055555555556
1900;126650.639999866;4.84166666666667
1900;126650.659999847;4.81388888888889
1900;126650.680000067;4.81944444444444
1900;126650.700000048;4.81944444444444
1900;126650.720000029;4.825
1900;126650.74000001;4.8
1900;126650.75999999;4.80277777777778
1900;126650.779999971;4.79166666666667
1900;126650.799999952;4.79166666666667
1900;126650.819999933;4.78333333333333
1900;126650.839999914;4.77222222222222
1900;126650.859999895;4.76666666666667
1900;126650.879999876;4.76388888888889
1900;126650.899999857;4.76388888888889
1900;126650.919999838;4.75277777777778
1900;126650.940000057;4.75277777777778
1900;126650.960000038;4.73611111111111
1900;126650.980000019;4.73333333333333
1900;126651;4.73333333333333
1900;126651.019999981;4.725
1900;126651.039999962;4.74444444444444
1900;126651.059999943;4.73611111111111
1900;126651.079999924;4.725
1900;126651.099999905;4.725
1900;126651.119999886;4.72222222222222
1900;126651.139999866;4.71388888888889
1900;126651.159999847;4.69444444444444
1900;126651.180000067;4.67777777777778
1900;126651.200000048;4.67777777777778
1900;126651.220000029;4.68611111111111
1900;126651.24000001;4.675
1900;126651.25999999;4.68333333333333
1900;126651.279999971;4.67222222222222
1900;126651.299999952;4.67222222222222
1900;126651.319999933;4.66388888888889
1900;126651.339999914;4.66388888888889
1900;126651.359999895;4.65277777777778
1900;126651.379999876;4.64166666666667
1900;126651.399999857;4.64166666666667
1900;126651.419999838;4.64444444444444
1900;126651.440000057;4.64722222222222
1900;126651.460000038;4.62777777777778
1900;126651.480000019;4.63333333333333
1900;126651.5;4.63333333333333
1900;126651.519999981;4.60833333333333
1900;126651.539999962;4.61666666666667
1900;126651.559999943;4.55555555555556
1900;126651.579999924;4.575
1900;126651.599999905;4.575
1900;126651.619999886;4.65277777777778
1900;126651.639999866;4.64444444444444
1900;126651.659999847;4.57777777777778
1900;126651.680000067;4.56388888888889
1900;126651.700000048;4.56388888888889
1900;126651.720000029;4.50833333333333
1900;126651.74000001;4.51944444444444
1900;126651.75999999;4.53611111111111
1900;126651.779999971;4.53611111111111
1900;126651.799999952;4.53611111111111
1900;126651.819999933;4.56388888888889
1900;126651.839999914;4.48611111111111
1900;126651.859999895;4.49444444444444
1900;126651.879999876;4.51944444444444
1900;126651.899999857;4.51944444444444
1900;126651.919999838;4.475
1900;126651.940000057;4.45833333333333
1900;126651.960000038;4.43055555555556
1900;126651.980000019;4.425
1900;126652;4.425
1900;126652.019999981;4.425
1900;126652.039999962;4.43888888888889
1900;126652.059999943;4.38055555555556
1900;126652.079999924;4.38055555555556
1900;126652.099999905;4.38055555555556
1900;126652.119999886;4.38055555555556
1900;126652.139999866;4.38055555555556
1900;126652.159999847;4.38611111111111
1900;126652.180000067;4.36111111111111
1900;126652.200000048;4.36111111111111
1900;126652.220000029;4.36111111111111
1900;126652.24000001;4.36111111111111
1900;126652.25999999;4.32222222222222
1900;126652.279999971;4.31666666666667
1900;126652.299999952;4.31666666666667
1900;126652.319999933;4.36944444444444
1900;126652.339999914;4.36944444444444
1900;126652.359999895;4.175
1900;126652.379999876;4.26111111111111
1900;126652.399999857;4.26111111111111
1900;126652.419999838;4.28333333333333
1900;126652.440000057;4.24166666666667
1900;126652.460000038;4.18888888888889
1900;126652.480000019;4.19444444444444
1900;126652.5;4.19444444444444
1900;126652.519999981;4.24166666666667
1900;126652.539999962;4.23333333333333
1900;126652.559999943;4.21388888888889
1900;126652.579999924;4.20277777777778
1900;126652.599999905;4.20277777777778
1900;126652.619999886;4.20277777777778
1900;126652.639999866;4.18333333333333
1900;126652.659999847;4.22777777777778
1900;126652.680000067;4.18888888888889
1900;126652.700000048;4.18888888888889
1900;126652.720000029;4.175
1900;126652.74000001;4.18333333333333
1900;126652.75999999;4.21388888888889
1900;126652.779999971;4.20277777777778
1900;126652.799999952;4.20277777777778
1900;126652.819999933;4.225
1900;126652.839999914;4.21388888888889
1900;126652.859999895;4.16944444444444
1900;126652.879999876;4.19444444444444
1900;126652.899999857;4.19444444444444
1900;126652.919999838;4.17777777777778
1900;126652.940000057;4.15
1900;126652.960000038;4.16666666666667
1900;126652.980000019;4.16388888888889
1900;126653;4.16388888888889
1900;126653.019999981;4.20277777777778
1900;126653.039999962;4.18888888888889
1900;126653.059999943;4.18888888888889
1900;126653.079999924;4.19444444444444
1900;126653.099999905;4.19444444444444
1900;126653.119999886;4.225
1900;126653.139999866;4.20833333333333
1900;126653.159999847;4.27222222222222
1900;126653.180000067;4.27222222222222
1900;126653.200000048;4.22777777777778
1900;126653.220000029;4.23611111111111
1900;126653.24000001;4.25277777777778
1900;126653.25999999;4.26388888888889
1900;126653.279999971;4.25833333333333
1900;126653.299999952;4.25833333333333
1900;126653.319999933;4.29166666666667
1900;126653.339999914;4.28333333333333
1900;126653.359999895;4.32777777777778
1900;126653.379999876;4.31666666666667
1900;126653.399999857;4.31666666666667
1900;126653.419999838;4.31666666666667
1900;126653.440000057;4.33333333333333
1900;126653.460000038;4.37222222222222
1900;126653.480000019;4.37222222222222
1900;126653.5;4.40555555555556
1900;126653.519999981;4.39166666666667
1900;126653.539999962;4.40555555555556
1900;126653.559999943;4.44166666666667
1900;126653.579999924;4.425
1900;126653.599999905;4.425
1900;126653.619999886;4.43055555555556
1900;126653.639999866;4.46111111111111
1900;126653.659999847;4.45
1900;126653.680000067;4.47777777777778
1900;126653.700000048;4.47777777777778
1900;126653.720000029;4.49444444444444
1900;126653.74000001;4.5
1900;126653.75999999;4.5
1900;126653.779999971;4.52777777777778
1900;126653.799999952;4.52777777777778
1900;126653.819999933;4.51388888888889
1900;126653.839999914;4.52777777777778
1900;126653.859999895;4.51388888888889
1900;126653.879999876;4.51944444444444
1900;126653.899999857;4.51944444444444
1900;126653.919999838;4.54722222222222
1900;126653.940000057;4.51944444444444
1900;126653.960000038;4.56666666666667
1900;126653.980000019;4.56666666666667
1900;126654;4.53611111111111
1900;126654.019999981;4.55833333333333
1900;126654.039999962;4.56944444444444
1900;126654.059999943;4.57777777777778
1900;126654.079999924;4.58611111111111
1900;126654.099999905;4.58611111111111
1900;126654.119999886;4.55833333333333
1900;126654.139999866;4.58333333333333
1900;126654.159999847;4.55833333333333
1900;126654.180000067;4.55555555555556
1900;126654.200000048;4.55555555555556
1900;126654.220000029;4.57777777777778
1900;126654.24000001;4.57777777777778
1900;126654.25999999;4.57777777777778
1900;126654.279999971;4.57777777777778
1900;126654.299999952;4.56388888888889
1900;126654.319999933;4.55833333333333
1900;126654.339999914;4.54722222222222
1900;126654.359999895;4.55555555555556
1900;126654.379999876;4.54722222222222
1900;126654.399999857;4.54722222222222
1900;126654.419999838;4.58888888888889
1900;126654.440000057;4.56944444444444
1900;126654.460000038;4.59722222222222
1900;126654.480000019;4.57777777777778
1900;126654.5;4.57777777777778
1900;126654.519999981;4.55833333333333
1900;126654.539999962;4.56944444444444
